Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ADC JAPATA,,	2014-01-01,,Operational,Unknown,Land (fixed),0-404-300-261370680RA34105|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.2048,34.7966,1972,GPS,UTC+3,KENYA METEOROLOGICAL DEPARTMENT,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
AIC Churo Girls  High School,,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-301570787AS00074|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7668,36.4056,1798,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
ALUPE,,	2020-09-22,,Operational,Unknown,Land (fixed),"0-404-300-402261127AS63663|primary,0-404-0-63663",Africa,EAC (Kenya & Tanzania),Kenya,0.497,34.1252,1161,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of high altitude,,GOS General:Operational,	2023-06-26,Anne Kamau
Ainabkoi KCC Plant,,	2021-11-18,,Operational,Unknown,Land (fixed),0-404-300-271440721AS00049|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.1601,35.5204,2635,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Arror Irrigation scheme (Agromet),,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-281480740AS00057|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.9388,35.625,1034,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Ausquest Farm,,	2022-09-25,,Unknown,Silent,Land (fixed),0-404-300-160800395AS00001|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.566213369,37.10015869,1628,(unknown),UTC+3,,,,,,,,,,Non-affiliated,	2023-10-31,Anne Kamau
BOMET,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63707|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.714732,35.3833,2156,GPS,UTC+3,Kenyan Meteorological Department,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,GOS General:Pre-operational,	2022-05-11,Philip Kimutai Koske
BORANA CENTER,,	2001-01-01,,Unknown,Unknown,Land (fixed),0-404-300-311650825RA37123|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2354,37.3172,1954,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
BUMULA,,	2020-09-21,,Partly operational,Unknown,Land (fixed),"0-404-300-392191090AS63662|primary,0-404-0-63662",Africa,EAC (Kenya & Tanzania),Kenya,0.3253,34.2743,1344,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,GOS General:Pre-operational,	2023-05-12,Anne Kamau
BURA,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63721|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.099,39.949,560,GPS,UTC+3,Kenyan Meteorological Department,,,,Desert - Hot arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GOS General:Pre-operational,	2022-05-24,Philip Kimutai Koske
Balambala chiefs office,,	2022-01-24,,Operational,Unknown,Land (fixed),0-404-300-040200100AS00113|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0975,39.0451,233,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Bangale police station,,	2022-01-21,,Operational,Unknown,Land (fixed),0-404-300-040200098AS00112|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.7252,39.0165,379,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Baringo High School,,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-301620807AS00073|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.0393,35.7269,2175,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Bartolimo Boys High School,,	2021-11-27,,Operational,Unknown,Land (fixed),0-404-300-301580790AS00071|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.6814,35.8189,1980,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Bishop Sulumeti Ang’urai,,	2021-11-13,,Operational,Unknown,Land (fixed),0-404-300-402251125AS00038|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.6921,34.3572,1421,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Busia ATC (Agromet),,	2021-11-12,,Operational,Unknown,Land (fixed),0-404-300-402281141AS00036|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.4584,34.1159,1227,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-12,JAMES KAIGUA
Butula DCC,,	2021-11-11,,Operational,Unknown,Land (fixed),0-404-300-402291146AS00033|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.3401,34.3374,1287,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
CHOKE RANCH,,	2021-11-30,,Unknown,Silent,Land (fixed),"0-404-300-060240116AS00002|primary,0-404-300-060240116AS0002",Africa,EAC (Kenya & Tanzania),Kenya,-3.6663,38.3502,850,,UTC+3,Kenyan Meteorological Department,,,,Desert - Hot arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,,Non-affiliated,	2024-03-30,Anne Kamau
CHWELE,,	2020-09-21,,Partly operational,Unknown,Land (fixed),"0-404-300-392181085AS63660|primary,0-404-0-63660",Africa,EAC (Kenya & Tanzania),Kenya,0.7333,34.6,1585,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Monsoon,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within mountains of high altitude,,GOS General:Pre-operational,	2023-12-15,Anne Kamau
Chepalungu boys high school,,	2021-10-24,,Operational,Unknown,Land (fixed),0-404-300-361950974AS00015|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.003,35.2549,1715,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,JAMES KAIGUA
DAGORETTI CORNER,,	1954-01-01,,Operational,Operational,Land (fixed),"0-20000-0-63741|primary,0-404-300-472781389CO63741",Africa,EAC (Kenya & Tanzania),Kenya,-1.301217,36.759652,1796.16,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GUAN;HU/FC;RBCN;SKYRA;SOILTEMP;SUNDUR;TOTRA{025};WR OR/OU WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements.,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"CLIMAT(C) - deprecated, GBON:Operational, GOS General:Operational, GUAN:Operational, RBON, RBSN(ST) - deprecated:Operational",	2024-07-30,Anne Kamau
DAGORETTI CORNER AWS,,	2020-09-21,,Operational,Operational,Land (fixed),0-404-300-472781389AS63747|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.301217,36.759652,1796.16,GPS,UTC+3,Kenyan Meteorological Department,,,,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,GOS General:Operational,	2023-12-15,Anne Kamau
Dakabaricha/Lutheran church,,	2021-12-16,,Operational,Silent,Land (fixed),0-404-300-100470235AS00114|primary,Africa,EAC (Kenya & Tanzania),Kenya,2.3349,38.0031,1318,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Dept of Agriculture  Khwisero,,	2021-11-15,,Operational,Unknown,Land (fixed),0-404-300-372081037AS00024|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.1656,34.5961,1386,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Dept of Agriculture  Likuyani,,	2021-11-16,,Operational,Unknown,Land (fixed),0-404-300-372000999AS00025|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7827,35.1319,1889,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Dept of Agriculture Navakholo,,	2021-11-16,,Operational,Unknown,Land (fixed),0-404-300-372031019AS00022|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.413,34.6827,1522,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Dept. of Agriculture  Ikolomani,,	2021-11-15,,Operational,Unknown,Land (fixed),0-404-300-372101048AS00026|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.1882,34.7587,1571,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
ELDORET INTERNATIONAL AIRPORT,,	2016-01-01,,Operational,Operational,Land (fixed),0-20000-0-63688|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.405104,35.227207,2106,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"GBON:Operational, GOS General:Operational",	2023-05-16,JAMES KAIGUA
ELDORET KAPSOYA,,	1954-01-01,,Operational,Operational,Land (fixed),0-404-300-63686|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.53333,35.28333,2133,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GUAN;HU/FC;RBCN;SKYRA;SOILTEMP;SUNDUR;TOTRA{025};WR OR/OU WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements.,Equatorial - Savannah - dry summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,51|1560,"GBON, GOS General:Operational",	2023-07-13,ANNE WANYOIKE
ELGEYO FOREST STATION,,	1959-03-01,,Operational,Unknown,Land (fixed),0-404-300-281490744RA35106|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7572,35.5227,2370,,UTC+3,KENYA METEOROLOGICAL DEPARTMENT,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
EMBU,,	1975-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63720|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.500633,37.459108,1517.6,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,"GBON:Operational, GOS General:Operational",	2024-01-15,Anne Kamau
EMBU AUTOMATIC WEATHER STATION,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63719|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.56,37.4833333,1265.2,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Savannah - dry summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,GOS General:Pre-operational,	2022-05-11,Philip Kimutai Koske
"ENDEBESS E,W. DOLIER",,	2011-01-01,,Unknown,Unknown,Land (fixed),0-404-300-261370680RA34014|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.067,34.967,1847,,UTC+3,KENYA METEOROLOGICAL DEPARTMENT,,,,,,,,,Non-affiliated,	2024-06-03,Anne Kamau
Enkijape Primary school,,	2021-09-19,,Operational,Unknown,Land (fixed),0-404-300-341870932AS00005|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.3278,37.3165,1236,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Enkorika Secondary School,,	2021-09-16,,Operational,Unknown,Land (fixed),0-404-300-341840918A00001|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.9961,36.9233,1770,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,JAMES KAIGUA
Faza Sec School,,	2022-01-02,,Operational,Unknown,Land (fixed),0-404-300-050210101AS00090|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.0613,41.1066,6,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
GARBATULLA RANET AUTOMATIC WEATHER STATION,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63670|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.567,38.5833,610,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Savannah - dry summer,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,GOS General:Pre-operational,	2022-05-24,Philip Kimutai Koske
GARISSA,,	1932-01-01,,Operational,Operational,Land (fixed),0-20000-0-63723|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.476425,39.647412,143,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GSN;RBCN;RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of low altitude,,"CLIMAT(C) - deprecated, GBON, GOS General:Operational, GSN:Operational",	2024-01-19,Anne Kamau
Gakanga Sec Sch,,	2021-12-12,,Operational,Unknown,Land (fixed),0-404-300-190950473AS00101|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.3182,36.7423,2764,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Gicheha Farm,,	2021-10-19,,Unknown,Unknown,Land (fixed),0-404-300-060230111AS00047|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.2658,37.7641,932,,,,,,,,,,,,Non-affiliated,	2023-06-27,Anne Kamau
Githima chief’s camp,,	2021-10-12,,Operational,Unknown,Land (fixed),0-404-300-190950476AS00099|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.1254,37.03,1972,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Hara Dispensary,,	2022-01-20,,Operational,Unknown,Land (fixed),0-404-300-070320150AS00107|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.8506,40.2286,63,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
ILRI Kapiti,,	2022-04-13,,Operational,Unknown,Land (fixed),0-404-300-160810398AS0001|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.6142,37.1331,1680,,,,,,,,,,,,Non-affiliated:Operational,	2023-11-02,Lucia Cappelletti
Iiyuni Secondary School,,	2021-11-12,,Unknown,Unknown,Land (fixed),0-404-300-160810398AS00009|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.6871,37.3315,1646.4,,,,,,,,,,,,Non-affiliated,	2023-07-03,Anne Kamau
Ijaara Police Station,,	2022-01-20,,Operational,Unknown,Land (fixed),0-404-300-070320160AS00106|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.5918,40.5076,57,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
JOMO KENYATTA NTERNATIONAL AIRPORT,,	1958-03-09,,Operational,Partly operational,Land (fixed),0-20000-0-63740|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.334453,36.917322,1624,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP{023};GSN;RBCN;SPECI;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Dry winter - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"CLIMAT(C) - deprecated, GBON:Operational, GOS General:Operational, GSN:Operational",	2024-01-16,Anne Kamau
KAKAMEGA,,	1957-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63687|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2775,34.7641666667,1559.6,,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON, GOS General:Operational",	2024-01-17,Anne Kamau
KAKAMEGA MET AWS,,	2020-09-21,,Partly operational,Unknown,Land (fixed),"0-404-300-372021012AS63681|primary,0-404-0-63681",Africa,EAC (Kenya & Tanzania),Kenya,0.26667,34.75,1585,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,GOS General:Pre-operational,	2023-07-04,Anne Kamau
KALRO Bachuma Livestock,,	2021-10-14,,Unknown,Unknown,Land (fixed),0-404-300-060260128AS00044|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.6935,38.9764,435,,,,,,,,,,,,GOS General,	2023-07-04,ANNE WANYOIKE
KALRO Kibos,,	2021-04-11,,Operational,Unknown,Land (fixed),0-404-300-422381186AS00032|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.066,34.813,1182,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
KENGEN Sondu-Miriu Power Stn,,	2021-11-04,,Operational,Unknown,Land (fixed),0-404-300-422441219AS00030|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.34,34.8518,1196,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
KERICHO,,	1973-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63710|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.3628611,35.27323,1991.53,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Monsoon,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of high altitude,,"GBON, GOS General:Operational",	2023-05-16,JAMES KAIGUA
KFS Gita Station,,	2021-06-12,,Operational,Unknown,Land (fixed),0-404-300-180900451AS00068|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.4725,36.6059,2591,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-18,ANNE WANYOIKE
KFS Ol Kalou,,	2021-12-03,,Operational,Unknown,Land (fixed),0-404-300-180910456AS00066|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.2689,36.3788,2360,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
